alpha        CL        CD        
    170.00   -0.5466    0.0540
    171.00   -0.5714    0.0449
    172.00   -0.5992    0.0368
    173.00   -0.6138    0.0296
    174.00   -0.5960    0.0234
    175.00   -0.5384    0.0181
    176.00   -0.4517    0.0137
    177.00   -0.3519    0.0104
    178.00   -0.2489    0.0079
    179.00   -0.1457    0.0065
    180.00   -0.0425    0.0060
    180.00   -0.0425    0.0060
